"담양군","합계",43634
"곡성군","합계",28617
"구례군","합계",24595
"고흥군","합계",62477
"보성군","합계",40688
"화순군","합계",61380
"장흥군","합계",36890
"강진군","합계",35126
"해남군","합계",69237
"영암군","합계",61535
"무안군","합계",80521
"함평군","합계",31367
"영광군","합계",51007
"장성군","합계",42058
"완도군","합계",48468
"진도군","합계",29538
"신안군","합계",36235
"경상북도","합계",2680294
"읍부","합계",605054
"면부","합계",635226
"동부","합계",1440014
"포항시","합계",511804
"남구","합계",243870
"북구","합계",267934
"경주시","합계",262310
"김천시","합계",137540
"안동시","합계",168581
"구미시","합계",421075
"영주시","합계",109266
"영천시","합계",97669
"상주시","합계",98760
"문경시","합계",71863
"경산시","합계",278500
"군위군","합계",22012
"의성군","합계",51021
"청송군","합계",24732
"영양군","합계",16781
"영덕군","합계",36539
"청도군","합계",41596
"고령군","합계",34117
"성주군","합계",41179
"칠곡군","합계",122462
"예천군","합계",42702
"봉화군","합계",31628
"울진군","합계",49387
"울릉군","합계",8770
"경상남도","합계",3334524
"읍부","합계",458732
"면부","합계",684929
"동부","합계",2190863
"진주시","합계",349788
"통영시","합계",137208
"사천시","합계",113335
"김해시","합계",534124
"밀양시","합계",103069
"거제시","합계",261371
"양산시","합계",297532
"창원시","합계",1059241
"의창구","합계",255200
"성산구","합계",234908
"마산합포구","합계",178945
"마산회원구","합계",208766
"진해구","합계",181422
"의령군","합계",27069
"함안군","합계",69355
"창녕군","합계",61635
"고성군","합계",53882
"남해군","합계",44248
"하동군","합계",44918
"산청군","합계",34034
"함양군","합계",38454
"거창군","합계",60464
"합천군","합계",44797
"제주특별자치도","합계",605619
"읍부","합계",129134
"면부","합계",31078
"동부","합계",445407
"제주시","합계",451758
"서귀포시","합계",153861
