"계","계","익산시",2036,676.4
"계","계","정읍시",1056,914.9
"계","계","남원시",846,998.1
"계","계","김제시",1000,1129.3
"계","계","완주군",787,853.0
"계","계","진안군",368,1407.4
"계","계","무주군",258,1024.0
"계","계","장수군",295,1271.7
"계","계","임실군",375,1252.8
"계","계","순창군",401,1330.7
"계","계","고창군",709,1189.3
"계","계","부안군",684,1206.3
"계","계","전라남도",16543,873.3
"계","계","목포시",1486,627.2
"계","계","여수시",1960,679.0
"계","계","순천시",1629,588.8
"계","계","나주시",908,969.5
"계","계","여천시",-,-
"계","계","광양시",746,490.0
"계","계","담양군",492,1053.3
"계","계","곡성군",396,1298.6
"계","계","구례군",344,1271.9
"계","계","여천군",-,-
"계","계","고흥군",1066,1552.3
"계","계","보성군",584,1293.4
"계","계","화순군",577,876.6
"계","계","장흥군",473,1098.7
"계","계","강진군",463,1187.0
"계","계","해남군",895,1177.8
"계","계","영암군",591,1019.9
"계","계","무안군",744,912.9
"계","계","함평군",469,1354.9
"계","계","영광군",623,1112.2
"계","계","장성군",493,1074.0
"계","계","완도군",642,1216.9
"계","계","진도군",424,1312.2
"계","계","신안군",538,1250.2
"계","계","경상북도",20862,777.2
"계","계","포항시",2986,578.1
"계","계","경주시",2056,794.4
"계","계","김천시",1202,877.4
"계","계","안동시",1504,894.8
"계","계","구미시",1433,342.8
"계","계","영주시",1005,917.6
"계","계","영천시",1032,1033.7
"계","계","상주시",1143,1122.1
"계","계","문경시",833,1106.4
"계","계","경산시",1407,554.3
"계","계","군위군",357,1489.6
"계","계","의성군",860,1585.5
"계","계","청송군",326,1243.1
"계","계","영양군",269,1506.7
"계","계","영덕군",511,1309.5
"계","계","청도군",606,1391.6
"계","계","고령군",340,982.9
"계","계","성주군",541,1211.7
"계","계","칠곡군",765,629.7
"계","계","예천군",555,1246.6
"계","계","봉화군",472,1406.9
"계","계","울진군",587,1136.0
"계","계","울릉군",72,719.6
"계","계","경상남도",21313,638.7
"계","계","창원시",-,-
"계","계","마산시",-,-
"계","계","진주시",2022,593.7
"계","계","진해시",-,-
"계","계","통영시",959,693.7
"계","계","사천시",948,824.1
"계","계","김해시",2223,423.5
"계","계","밀양시",1122,1049.9
"계","계","거제시",985,392.8
"계","계","양산시",1438,486.7
"계","계","통합창원시",5286,495.9
"계","계","의령군",434,1511.6
"계","계","함안군",622,908.6
"계","계","창녕군",859,1359.9
"계","계","고성군",673,1219.6
"계","계","남해군",737,1603.4
"계","계","하동군",647,1308.6
"계","계","산청군",468,1312.9
"계","계","함양군",494,1231.0
"계","계","거창군",670,1066.4
"계","계","합천군",726,1472.0
"계","계","제주도",3339,546.2
"계","계","제주시",2264,502.0
"계","계","서귀포시",1075,670.3
